"longitude","latitude","value","G1","G2"
113.534278505,22.1901884542,0.0712888948441694,"A","pre"
113.550757676,22.1984201204,0.0401981433482541,"A","pre"
113.542937815,22.1934018209,0.145404221642513,"A","pre"
113.576503746,22.1568624735,0.0750574707830682,"A","pre"
113.534544405,22.186351058,0.0304626555060988,"A","pre"
113.545636215,22.2136637768,0.277409062168941,"A","pre"
113.544272025,22.185627593,0.0622861856568,"A","pre"
113.555948034,22.1641111651,0.0262753489073223,"A","pre"
113.55299726,22.1939751494,0.0692999242097506,"A","pre"
113.543371517,22.2013154515,0.473898424316527,"A","pre"
113.554821351,22.2037267343,0.181938471716838,"A","pre"
113.541624919,22.205058097,0.241398225419463,"A","pre"
113.555223272,22.1590835562,0.261706662423529,"A","pre"
113.552589795,22.1531777983,0.0308813861659765,"A","pre"
113.53932912,22.1989776959,0.278874619478513,"A","pre"
113.54467931,22.1612185484,0.0482587085508988,"A","pre"
113.542621517,22.208120055,0.252494587906221,"A","pre"
113.547468416,22.1996124479,0.205596753999925,"A","pre"
113.566198222,22.1430025502,0.0264847142372612,"A","pre"
113.56837097,22.1253250745,0.0735919134734964,"A","pre"
113.538074738,22.2109934195,0.115150931466353,"A","pre"
113.54696689,22.2042783657,0.163304957352282,"A","pre"
113.550766928,22.2122490802,0.52142435421264,"A","pre"
113.55713729,22.2091558083,0.413601209294146,"A","pre"
113.534278505,22.1901884542,0.0744150152964198,"A","acu"
113.550757676,22.1984201204,0.0523661218752584,"A","acu"
113.542937815,22.1934018209,0.143317807237549,"A","acu"
113.576503746,22.1568624735,0.070280847779952,"A","acu"
113.534544405,22.186351058,0.0151586142270485,"A","acu"
113.545636215,22.2136637768,0.413416751646777,"A","acu"
113.544272025,22.185627593,0.0689027919411295,"A","acu"
113.555948034,22.1641111651,0.0372075076482099,"A","acu"
113.55299726,22.1939751494,0.0744150152964198,"A","acu"
113.543371517,22.2013154515,0.646308188407794,"A","acu"
113.554821351,22.2037267343,0.248050050988066,"A","acu"
113.541624919,22.205058097,0.304550340379792,"A","acu"
113.555223272,22.1590835562,0.213598655017501,"A","acu"
113.552589795,22.1531777983,0.0316952842929195,"A","acu"
113.53932912,22.1989776959,0.376209243998567,"A","acu"
113.54467931,22.1612185484,0.0496100101976132,"A","acu"
113.542621517,22.208120055,0.406526472452664,"A","acu"
113.547468416,22.1996124479,0.19154976159634,"A","acu"
113.566198222,22.1430025502,0.0509880660364358,"A","acu"
113.56837097,22.1253250745,0.0730369594575972,"A","acu"
113.538074738,22.2109934195,0.230135325083372,"A","acu"
113.54696689,22.2042783657,0.209464487501034,"A","acu"
113.550766928,22.2122490802,0.700052366121875,"A","acu"
113.55713729,22.2091558083,0.61736901579252,"A","acu"
113.534278505,22.1901884542,0.129287233858554,"A","tra"
113.550757676,22.1984201204,0.0778317795804002,"A","tra"
113.542937815,22.1934018209,0.270681633429614,"A","tra"
113.576503746,22.1568624735,0.14139439957106,"A","tra"
113.534544405,22.186351058,0.0631302212152135,"A","tra"
113.545636215,22.2136637768,0.559091616652542,"A","tra"
113.544272025,22.185627593,0.12453084732864,"A","tra"
113.555948034,22.1641111651,0.0544822457062802,"A","tra"
113.55299726,22.1939751494,0.141826798346507,"A","tra"
113.543371517,22.2013154515,0.924468581904976,"A","tra"
113.554821351,22.2037267343,0.367971357905114,"A","tra"
113.541624919,22.205058097,0.483854229724821,"A","tra"
113.555223272,22.1590835562,0.495096597886435,"A","tra"
113.552589795,22.1531777983,0.0397806873410935,"A","tra"
113.53932912,22.1989776959,0.527958904820382,"A","tra"
113.54467931,22.1612185484,0.0765345832540602,"A","tra"
113.542621517,22.208120055,0.527094107269488,"A","tra"
113.547468416,22.1996124479,0.379213726066728,"A","tra"
113.566198222,22.1430025502,0.0635626199906602,"A","tra"
113.56837097,22.1253250745,0.158690350588927,"A","tra"
113.538074738,22.2109934195,0.290139578324714,"A","tra"
113.54696689,22.2042783657,0.318245498728748,"A","tra"
113.550766928,22.2122490802,1.08705052147292,"A","tra"
113.55713729,22.2091558083,0.895065465174603,"A","tra"
113.534278505,22.1901884542,0.0983720592204988,"A","pos"
113.550757676,22.1984201204,0.0552856163956893,"A","pos"
113.542937815,22.1934018209,0.172864885068212,"A","pos"
113.576503746,22.1568624735,0.10070807118088,"A","pos"
113.534544405,22.186351058,0.0462011254386511,"A","pos"
113.545636215,22.2136637768,0.336904836063872,"A","pos"
113.544272025,22.185627593,0.107975663946511,"A","pos"
113.555948034,22.1641111651,0.0412695446334019,"A","pos"
113.55299726,22.1939751494,0.111869017213813,"A","pos"
113.543371517,22.2013154515,0.613332918042318,"A","pos"
113.554821351,22.2037267343,0.243464357648622,"A","pos"
113.541624919,22.205058097,0.290184596856247,"A","pos"
113.555223272,22.1590835562,0.439948919205133,"A","pos"
113.552589795,22.1531777983,0.035818850059179,"A","pos"
113.53932912,22.1989776959,0.436574679706805,"A","pos"
113.54467931,22.1612185484,0.0682634606200295,"A","pos"
113.542621517,22.208120055,0.265007579061027,"A","pos"
113.547468416,22.1996124479,0.299269087813285,"A","pos"
113.566198222,22.1430025502,0.047758466745572,"A","pos"
113.56837097,22.1253250745,0.119136609979443,"A","pos"
113.538074738,22.2109934195,0.169231088685396,"A","pos"
113.54696689,22.2042783657,0.223738034427625,"A","pos"
113.550766928,22.2122490802,0.617485828194107,"A","pos"
113.55713729,22.2091558083,0.607103552814635,"A","pos"
113.534278505,22.1901884542,0.0310907514959153,"B","pre"
113.550757676,22.1984201204,0.01423684243584,"B","pre"
113.542937815,22.1934018209,0.0639611082963106,"B","pre"
113.576503746,22.1568624735,0.0300439248462212,"B","pre"
113.534544405,22.186351058,0.0138181117759623,"B","pre"
113.545636215,22.2136637768,0.112952595501995,"B","pre"
113.544272025,22.185627593,0.0242863782729035,"B","pre"
113.555948034,22.1641111651,0.00596691190325647,"B","pre"
113.55299726,22.1939751494,0.0294158288564047,"B","pre"
113.543371517,22.2013154515,0.207690407299313,"B","pre"
113.554821351,22.2037267343,0.0728591348187105,"B","pre"
113.541624919,22.205058097,0.106043539614014,"B","pre"
113.555223272,22.1590835562,0.101751550350268,"B","pre"
113.552589795,22.1531777983,0.0131900157861459,"B","pre"
113.53932912,22.1989776959,0.114836883471445,"B","pre"
113.54467931,22.1612185484,0.0198897063441882,"B","pre"
113.542621517,22.208120055,0.11211513418224,"B","pre"
113.547468416,22.1996124479,0.100285993040696,"B","pre"
113.566198222,22.1430025502,0.00722310388288941,"B","pre"
