#node	date	numeric date
EPI609489|A/Hong_Kong/1736/2010|2010	2010-03-23	2010.223288
NODE_0001216	2010-04-25	2010.313376
NODE_0001217	2011-01-02	2011.003075
EPI353492|A/Hong_Kong/5063/2011|2011	2011-12-19	2011.965753
EPI335903|A/Hong_Kong/3974/2011|2011	2011-06-23	2011.475342
NODE_0001213	2010-09-21	2010.721283
NODE_0000055	2010-12-27	2010.987291
EPI331093|A/Hong_Kong/3969/2011|2011	2011-05-19	2011.379452
NODE_0000056	2011-01-24	2011.064633
EPI331091|A/Hong_Kong/3968/2011|2011	2011-05-17	2011.373973
EPI319687|A/Hong_Kong/3953/2011|2011	2011-04-18	2011.294521
NODE_0001212	2010-11-22	2010.892452
EPI352775|A/Hong_Kong/5047/2011|2011	2011-12-14	2011.952055
NODE_0001208	2010-12-09	2010.937689
NODE_0001211	2011-01-01	2011.000876
EPI352769|A/Hong_Kong/4974/2011|2011	2011-01-12	2011.031507
EPI352773|A/Hong_Kong/4937/2011|2011	2011-11-30	2011.913699
NODE_0000061	2011-07-04	2011.504777
NODE_0001210	2011-10-26	2011.819081
EPI352771|A/Hong_Kong/4960/2011|2011	2011-11-30	2011.913699
EPI353485|A/Hong_Kong/4913/2011|2011	2011-11-29	2011.910959
NODE_0001207	2011-09-24	2011.731291
EPI383268|A/Hong_Kong/8153/2012|2012	2012-06-27	2012.487705
NODE_0001155	2012-01-14	2012.036776
EPI383254|A/Hong_Kong/8151/2012|2012	2012-06-27	2012.487705
EPI392270|A/Hong_Kong/8150/2012|2012	2012-06-27	2012.487705
NODE_0001162	2012-03-01	2012.165573
NODE_0001163	2013-01-16	2013.042466
EPI463660|A/Hong_Kong/209/2013|2013	2013-01-16	2013.042466
EPI464683|A/Hong_Kong/209/2013|2013	2013-01-16	2013.042466
NODE_0001164	2012-03-25	2012.231088
NODE_0001165	2012-06-26	2012.484973
EPI382763|A/Hong_Kong/8119/2012|2012	2012-06-26	2012.484973
EPI392266|A/Hong_Kong/8119/2012|2012	2012-06-26	2012.484973
NODE_0001166	2012-06-26	2012.484973
EPI383265|A/Hong_Kong/8152/2012|2012	2012-06-26	2012.484973
EPI392272|A/Hong_Kong/8152/2012|2012	2012-06-26	2012.484973
NODE_0000074	2012-02-29	2012.163168
EPI382804|A/Hong_Kong/8149/2012|2012	2012-06-27	2012.487705
NODE_0000065	2012-03-22	2012.223602
EPI392264|A/Hong_Kong/8117/2012|2012	2012-06-26	2012.484973
NODE_0000066	2012-06-25	2012.481251
EPI382696|A/Hong_Kong/8116/2012|2012	2012-06-26	2012.484973
NODE_0000067	2012-06-25	2012.483112
EPI383219|A/Hong_Kong/8150/2012|2012	2012-06-27	2012.487705
NODE_0000068	2012-06-26	2012.484973
EPI391276|A/Hong_Kong/8116/2012|2012	2012-06-26	2012.484973
EPI382708|A/Hong_Kong/8117/2012|2012	2012-06-26	2012.484973
NODE_0001167	2012-04-01	2012.249772
EPI426063|A/Hong_Kong/15/2013|2013	2012-12-25	2012.982240
NODE_0001168	2012-05-04	2012.339518
NODE_0001194	2013-02-25	2013.152055
EPI463664|A/Hong_Kong/1036/2013|2013	2013-02-25	2013.152055
EPI466782|A/Hong_Kong/1036/2013|2013	2013-02-25	2013.152055
NODE_0001195	2012-05-23	2012.390969
EPI426065|A/Hong_Kong/43/2013|2013	2013-01-02	2013.004110
NODE_0001196	2012-05-23	2012.390969
EPI382778|A/Hong_Kong/8146/2012|2012	2012-06-25	2012.482240
NODE_0000079	2012-06-26	2012.484973
EPI382725|A/Hong_Kong/8118/2012|2012	2012-06-26	2012.484973
NODE_0000080	2013-03-17	2013.208173
