类别：所有类别

周,普通感冒: (澳门)
2018-12-30,95
2019-01-06,60
2019-01-13,100
2019-01-20,81
2019-01-27,87
2019-02-03,38
2019-02-10,72
2019-02-17,44
2019-02-24,48
2019-03-03,72
2019-03-10,59
2019-03-17,37
2019-03-24,58
2019-03-31,66
2019-04-07,42
2019-04-14,38
2019-04-21,57
2019-04-28,44
2019-05-05,42
2019-05-12,35
2019-05-19,67
2019-05-26,48
2019-06-02,32
2019-06-09,40
2019-06-16,45
2019-06-23,60
2019-06-30,53
2019-07-07,27
2019-07-14,39
2019-07-21,43
2019-07-28,37
2019-08-04,41
2019-08-11,25
2019-08-18,39
2019-08-25,47
2019-09-01,39
2019-09-08,30
2019-09-15,46
2019-09-22,53
2019-09-29,48
2019-10-06,29
2019-10-13,65
2019-10-20,66
2019-10-27,50
2019-11-03,74
2019-11-10,66
2019-11-17,41
2019-11-24,55
2019-12-01,66
2019-12-08,65
2019-12-15,69
2019-12-22,65
2019-12-29,94
