类别：所有类别

周,普通感冒: (澳门)
2017-12-31,83
2018-01-07,85
2018-01-14,71
2018-01-21,100
2018-01-28,82
2018-02-04,99
2018-02-11,77
2018-02-18,50
2018-02-25,74
2018-03-04,68
2018-03-11,56
2018-03-18,69
2018-03-25,58
2018-04-01,69
2018-04-08,53
2018-04-15,56
2018-04-22,29
2018-04-29,41
2018-05-06,0
2018-05-13,36
2018-05-20,38
2018-05-27,32
2018-06-03,39
2018-06-10,43
2018-06-17,26
2018-06-24,0
2018-07-01,31
2018-07-08,63
2018-07-15,46
2018-07-22,27
2018-07-29,47
2018-08-05,45
2018-08-12,25
2018-08-19,41
2018-08-26,34
2018-09-02,28
2018-09-09,26
2018-09-16,41
2018-09-23,59
2018-09-30,43
2018-10-07,59
2018-10-14,55
2018-10-21,36
2018-10-28,89
2018-11-04,42
2018-11-11,62
2018-11-18,52
2018-11-25,50
2018-12-02,51
2018-12-09,93
2018-12-16,68
2018-12-23,59
2018-12-30,96
