类别：所有类别

周,普通感冒: (澳门)
2015-12-27,46
2016-01-03,64
2016-01-10,69
2016-01-17,86
2016-01-24,73
2016-01-31,100
2016-02-07,63
2016-02-14,41
2016-02-21,53
2016-02-28,51
2016-03-06,56
2016-03-13,49
2016-03-20,49
2016-03-27,67
2016-04-03,51
2016-04-10,56
2016-04-17,32
2016-04-24,51
2016-05-01,57
2016-05-08,0
2016-05-15,49
2016-05-22,28
2016-05-29,30
2016-06-05,0
2016-06-12,46
2016-06-19,32
2016-06-26,52
2016-07-03,0
2016-07-10,70
2016-07-17,49
2016-07-24,40
2016-07-31,0
2016-08-07,59
2016-08-14,0
2016-08-21,41
2016-08-28,40
2016-09-04,0
2016-09-11,57
2016-09-18,53
2016-09-25,36
2016-10-02,55
2016-10-09,46
2016-10-16,45
2016-10-23,62
2016-10-30,34
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
