"omega_rate","immunity_yr","debt_pct","S_acc"
0.0019,10.1214574898785,39.9457828592429,0.0799265153884002
0.00205,9.38086303939962,43.7714739871433,0.0847246315361952
0.0022,8.74125874125874,47.3600720740258,0.0893735818375119
0.00235,8.18330605564648,50.3632291707279,0.0938686525566036
0.0025,7.69230769230769,53.3543049325576,0.0982299368802105
0.00265,7.25689404934688,56.2057575244332,0.102446423892579
0.0028,6.86813186813187,58.6586825874604,0.106532174288636
0.00295,6.51890482398957,60.9308179785016,0.110482993321887
0.0031,6.20347394540943,62.8757064270254,0.11431286714803
0.00325,5.91715976331361,64.6402502568514,0.118030632724637
0.0034,5.65610859728507,66.2286810773203,0.121615294727747
0.00355,5.41711809317443,67.6212117126629,0.12510036054388
0.0037,5.1975051975052,68.9009073712084,0.128477909775989
0.00385,4.99500499500499,70.0319603359894,0.131736173162368
0.004,4.80769230769231,71.0411341387555,0.134899481173145
