parameter,central,lower,upper,log_scale,description,source
beta_base,2.24,2.08,2.4,FALSE,baseline transmission rate (per week); R0_peak = beta_base*(1+beta_season)/gamma_rate,"Biggerstaff 2014 BMC Infect Dis (seasonal flu R0 median 1.28, IQR 1.19-1.37; central beta_base = 1.28*1.75 = 2.24)"
beta_season,0.25,0.15,0.35,FALSE,relative seasonal forcing amplitude (dimensionless),"Eales 2025 PLoS Comput Biol (beta1 = 0.25, calibrated to peak-week SD ~3.5 wks and attack rate ~20%); Towers 2012 lecture notes (relative seasonal forcing ~20-30%)"
phi,5,2,8,FALSE,seasonal phase peak (weeks since Jan 1),Ng 2021 Virol Sin (Macau Kiang Wu Hospital 2010-2018; influenza A peaks Jan-Feb; influenza B peaks Mar-May); CHP HK surveillance
sigma_rate,3.68,2.5,5,FALSE,1/latent period (per week); approximated by incubation period,"Lessler 2009 Lancet Infect Dis (influenza A incubation period median 1.4 d, 95% CI 1.3-1.5; 95th percentile 2.8 d; latent period in SEIRS approximated by incubation period)"
gamma_rate,1.75,1.4,2.33,FALSE,1/infectious period (per week); conservative estimate,"Carrat 2008 Am J Epidemiol (mean viral shedding 4.8 d, 95% CI 4.3-5.3; illness duration 3.7-5.0 d; we use 4 d as a conservative central estimate for infectious period)"
omega_rate,0.0027,0.0019,0.004,FALSE,immunity waning rate (per week); corresponds to half-life = ln(2)/omega,Ranjeva 2019 Nat Commun (protective immunity half-life 3.5-7 yr; central omega = ln(2)/(4.9 yr) = 0.0027/wk)
npi_reduction,0.45,0.3,0.7,FALSE,NPI-induced transmission reduction (dimensionless),Cowling 2020 Lancet Public Health (Hong Kong influenza transmissibility reduced 44% [95% CI 34-53%] after NPIs); Feng 2021 Nat Commun (China/US influenza activity declined 67-79% under widespread NPIs)
iota,1.00E-04,1.00E-05,0.001,TRUE,external importation rate (per susceptible per week),Yang 2015 PNAS (SIRS model structure includes travel-related importation term alpha; no direct numerical estimate provided); wide prior reflecting Macau's high tourist influx (~35M visitors/yr) and geographic connectivity; explored by sensitivity analysis
