"peak_act_23","peak_cf_23","debt_pct","S_acc"
0.328804400087172,0.0809320021937574,75.385973492964,0.145440875955838
0.195827475695124,0.0993369506912986,49.273231277335,0.0936553567169509
0.217246789556584,0.0918730661601308,57.7102767098883,0.117014536529654
0.112506087979889,0.0665800700559314,40.8209180041592,0.0899477327320664
0.197594295393916,0.0878966549529192,55.5166029577463,0.12096764154272
0.170523240834404,0.0939673247607613,44.8947109490998,0.0949358172371051
0.184208351722814,0.0900466305423737,51.1169663589029,0.114828478922663
0.244251375634047,0.0957599842762607,60.7944954137191,0.0919390883389017
0.150592231919234,0.080832440199467,46.3236322556005,0.113452215689235
0.411929530889338,0.0991442643647982,75.9317414921067,0.130367111265448
0.146067547229636,0.0898733308455857,38.4713904285022,0.0703798938514159
0.194139448278864,0.0887309919269829,54.2952281395543,0.136507551725353
0.18573741787252,0.095949196334888,48.3414825973611,0.111355506948223
0.282639972681303,0.0914502913195887,67.6442470426129,0.147013287912046
0.220908795310243,0.0754457227615981,65.8475695113711,0.121660434281075
0.177022477494344,0.0726222373174742,58.9756971287477,0.102650984729788
0.235577445573235,0.10416477405768,55.783214388706,0.0925663919711847
0.306974907789276,0.0774137464744876,74.7817347574127,0.147289235714998
0.204094509625235,0.104263524223623,48.9140965060378,0.083514692526628
0.406053800946723,0.101850482054557,74.9169982359259,0.118541400132404
0.26279003120455,0.0831518597007201,68.3580616359087,0.127171026146384
0.155582574551284,0.0685863347593572,55.916441827006,0.101136393854335
0.24431302689826,0.0808896886167191,66.8909637592087,0.122554344874286
0.312850016520711,0.100665117663054,67.8232020625802,0.108360701643053
0.17587082899931,0.084286369515555,52.0748437957918,0.112165973332002
0.397086222522735,0.095515082836614,75.9460093503633,0.114683776273081
0.195613682383983,0.078039743873827,60.1051711093308,0.146339211857198
0.137248401937301,0.0660232481209555,51.8950696773017,0.126309133438417
0.136786950228415,0.0767085492268033,43.9211495696696,0.0924440294583975
0.260506803147833,0.0963343859687832,63.0203953199198,0.106476728221554
0.139713776876303,0.0701943805566087,49.7584403442504,0.0981094784179209
0.343911414127971,0.092064390287728,73.2302021666922,0.131762196685374
0.195004836925453,0.0888475368006789,54.4382907616576,0.119972933058874
0.171705598258145,0.0824138423363567,52.0028215897455,0.0964345416073219
0.1177055421551,0.0684766774180103,41.8237440954318,0.110162894927287
0.185618048192348,0.0824726442980542,55.5686286429479,0.0905994753588483
0.185498879469102,0.10050842422522,45.8172337682712,0.100992075946534
0.34331910730895,0.102710494282394,70.0830824455203,0.123165542173578
0.197160587655259,0.0743123864665378,62.3087010693663,0.131084614327767
0.255466172029835,0.0801829919196323,68.6130686961293,0.127492779248701
0.137795073780721,0.0931943127156063,32.3674568628552,0.0750724904582573
0.128379817715754,0.0798035767225295,37.8379108628877,0.0790828998588481
0.133042065318776,0.078895763968629,40.698632586926,0.11197420357778
0.114942956122696,0.0674998395875206,41.2753579127825,0.0865139743063995
0.24461319105852,0.0968806926652296,60.3943302297004,0.0957432244683836
0.133409195846216,0.092303563940474,30.8116930358575,0.0817031013591792
0.258850909235093,0.101941070257051,60.6178434689345,0.104806086826116
0.13138199848175,0.0763770485884803,41.8664280715068,0.0834878702384491
0.234357227842653,0.0903968031195556,61.4277724857508,0.116505451043505
0.209899186580353,0.0813596281928649,61.23871201296,0.123963098099379
0.305020423653568,0.0962350476885874,68.4496380485367,0.132419180170932
0.415399143262288,0.0966108077151318,76.7426560015482,0.134459064931432
0.205122516935408,0.082951965943672,59.5597951980117,0.10782683761812
0.419100447209311,0.0984582849843609,76.5072345687124,0.140465809333624
0.237461126414152,0.0760123115933515,67.9895767609644,0.142369804471066
0.204001200163124,0.0987899264584959,51.5738503599483,0.110642176393028
0.164235930875828,0.0778168272805873,52.6188776928348,0.100814582929789
0.205557478901264,0.09924709381342,51.7180818017857,0.102388712390976
0.190551334260038,0.0737172682092281,61.3136961252504,0.110553802155142
0.170224862656675,0.0692160780602715,59.3384438794508,0.130731058434171
0.128518642647293,0.0750682471485962,41.5896047434817,0.1198206178368
0.372620772333191,0.102772780280464,72.418934232532,0.12990824564213
0.193143825464164,0.0814541209728395,57.827219805195,0.118878118806916
0.163708587597038,0.0860301389386499,47.4492204707004,0.0858816732089972
0.131445818406375,0.073711370989691,43.922620070114,0.0958521829389238
0.0986437696492642,0.0667591349907558,32.3230091184438,0.0788790589564291
0.152032848525903,0.0929111375883299,38.8874585399222,0.0818607345284805
0.455098227045387,0.0947448457590375,79.181451359601,0.165363613641962
0.223563928726451,0.0988359992682859,55.7907217719277,0.091787421360819
0.412389612763933,0.096845235035081,76.5160828406901,0.123419148681365
0.234424459681247,0.079105039338414,66.2556375533615,0.129630440009711
0.376628830701044,0.0981268078860693,73.9460179659058,0.118788696197721
0.129348692904447,0.0884433590713326,31.6240797758443,0.065067020868955
0.27425560996707,0.101627236046988,62.944336468016,0.117611575962684
0.222469515188928,0.0815996040417983,63.320995250742,0.123932256391289
0.215396281223535,0.0916108528124602,57.4686933812996,0.116014444353293
0.206354354448561,0.0816895366813379,60.4129813981217,0.120291238692153
0.125425365824025,0.0664666937459003,47.0069763725826,0.116474812913132
0.231183813575621,0.086713609676076,62.4914874727111,0.132246625983794
0.165744062459418,0.0923263728614804,44.2958188115569,0.110137504540547
0.110280043846551,0.0708335198373393,35.7694126999981,0.089602802471185
0.217496105326513,0.0820541411830376,62.2732825216088,0.11984549474543
0.219148704345296,0.0737783523598447,66.3341142808684,0.14713962608264
0.0994363694077844,0.066788872118745,32.8325515940283,0.080742924860335
0.133505876376113,0.0810464061816972,39.2937536671619,0.0902389264749923
0.163241590061903,0.0762695278889553,53.2781273081,0.105405667714603
0.120203774793106,0.0919667961087528,23.4909250836375,0.0645421495289303
0.370901898545861,0.101887443495217,72.5298134372804,0.120964889877148
0.154316669733822,0.0861960993873528,44.1433647213674,0.0831349666797812
0.217829505003311,0.0770901536101559,64.6098660468498,0.13651442633461
0.273669676055756,0.0941266608625452,65.6057396569694,0.133195239464306
0.247763598863271,0.0816800662572304,67.0330643274576,0.120528462422129
0.133099147949827,0.0717429315521267,46.0981286077272,0.112824559853496
0.232358358446899,0.0916960909429349,60.5367796726408,0.108882671456523
0.177759762626861,0.0656624985395752,63.0611013599244,0.148363403618983
0.146892825370742,0.085348639025085,41.8973399077361,0.0990130615662148
0.250285379226752,0.0893665924207813,64.2941218952237,0.107370096440242
0.245553163396475,0.0893390781891535,63.6172155335239,0.146945314316659
0.195834739976097,0.0884180568877524,54.8506782307651,0.0908572325962854
0.164555024243722,0.0796080781637232,51.622213585034,0.110297099764797
