类别：所有类别

周,普通感冒: (香港)
2015-12-27,77
2016-01-03,67
2016-01-10,68
2016-01-17,76
2016-01-24,91
2016-01-31,100
2016-02-07,99
2016-02-14,87
2016-02-21,86
2016-02-28,86
2016-03-06,79
2016-03-13,78
2016-03-20,82
2016-03-27,87
2016-04-03,64
2016-04-10,62
2016-04-17,66
2016-04-24,64
2016-05-01,66
2016-05-08,60
2016-05-15,60
2016-05-22,53
2016-05-29,54
2016-06-05,42
2016-06-12,49
2016-06-19,48
2016-06-26,45
2016-07-03,48
2016-07-10,47
2016-07-17,48
2016-07-24,49
2016-07-31,44
2016-08-07,39
2016-08-14,44
2016-08-21,47
2016-08-28,45
2016-09-04,53
2016-09-11,63
2016-09-18,58
2016-09-25,69
2016-10-02,61
2016-10-09,67
2016-10-16,56
2016-10-23,56
2016-10-30,58
2016-11-06,31
2016-11-13,32
2016-11-20,40
2016-11-27,42
2016-12-04,37
2016-12-11,32
2016-12-18,29
2016-12-25,43
