类别：所有类别

周,普通感冒: (香港)
2014-12-28,82
2015-01-04,81
2015-01-11,83
2015-01-18,86
2015-01-25,97
2015-02-01,100
2015-02-08,91
2015-02-15,69
2015-02-22,66
2015-03-01,58
2015-03-08,58
2015-03-15,57
2015-03-22,59
2015-03-29,58
2015-04-05,71
2015-04-12,64
2015-04-19,58
2015-04-26,52
2015-05-03,48
2015-05-10,53
2015-05-17,51
2015-05-24,51
2015-05-31,55
2015-06-07,58
2015-06-14,55
2015-06-21,52
2015-06-28,49
2015-07-05,46
2015-07-12,43
2015-07-19,42
2015-07-26,42
2015-08-02,42
2015-08-09,41
2015-08-16,49
2015-08-23,43
2015-08-30,47
2015-09-06,59
2015-09-13,65
2015-09-20,62
2015-09-27,60
2015-10-04,57
2015-10-11,63
2015-10-18,63
2015-10-25,61
2015-11-01,63
2015-11-08,58
2015-11-15,60
2015-11-22,65
2015-11-29,68
2015-12-06,73
2015-12-13,87
2015-12-20,83
2015-12-27,84
