类别：所有类别

周,咳嗽: (香港)
2017-01-01,90
2017-01-08,83
2017-01-15,70
2017-01-22,83
2017-01-29,86
2017-02-05,93
2017-02-12,81
2017-02-19,86
2017-02-26,80
2017-03-05,82
2017-03-12,78
2017-03-19,77
2017-03-26,81
2017-04-02,91
2017-04-09,79
2017-04-16,66
2017-04-23,65
2017-04-30,74
2017-05-07,69
2017-05-14,74
2017-05-21,81
2017-05-28,80
2017-06-04,66
2017-06-11,56
2017-06-18,62
2017-06-25,63
2017-07-02,76
2017-07-09,73
2017-07-16,57
2017-07-23,62
2017-07-30,62
2017-08-06,57
2017-08-13,50
2017-08-20,44
2017-08-27,50
2017-09-03,50
2017-09-10,54
2017-09-17,59
2017-09-24,63
2017-10-01,64
2017-10-08,62
2017-10-15,56
2017-10-22,75
2017-10-29,64
2017-11-05,73
2017-11-12,77
2017-11-19,73
2017-11-26,74
2017-12-03,74
2017-12-10,77
2017-12-17,83
2017-12-24,100
2017-12-31,100
