类别：所有类别

周,普通感冒: (香港)
2017-01-01,34
2017-01-08,34
2017-01-15,29
2017-01-22,32
2017-01-29,38
2017-02-05,43
2017-02-12,38
2017-02-19,41
2017-02-26,44
2017-03-05,38
2017-03-12,40
2017-03-19,30
2017-03-26,32
2017-04-02,31
2017-04-09,32
2017-04-16,29
2017-04-23,30
2017-04-30,24
2017-05-07,25
2017-05-14,44
2017-05-21,31
2017-05-28,34
2017-06-04,26
2017-06-11,29
2017-06-18,48
2017-06-25,52
2017-07-02,64
2017-07-09,75
2017-07-16,79
2017-07-23,77
2017-07-30,57
2017-08-06,52
2017-08-13,47
2017-08-20,40
2017-08-27,39
2017-09-03,44
2017-09-10,48
2017-09-17,51
2017-09-24,50
2017-10-01,47
2017-10-08,61
2017-10-15,53
2017-10-22,59
2017-10-29,72
2017-11-05,61
2017-11-12,66
2017-11-19,71
2017-11-26,60
2017-12-03,67
2017-12-10,73
2017-12-17,96
2017-12-24,91
2017-12-31,100
