类别：所有类别

周,咳嗽: (香港)
2017-12-31,91
2018-01-07,86
2018-01-14,87
2018-01-21,90
2018-01-28,82
2018-02-04,80
2018-02-11,94
2018-02-18,90
2018-02-25,82
2018-03-04,76
2018-03-11,78
2018-03-18,71
2018-03-25,75
2018-04-01,77
2018-04-08,68
2018-04-15,59
2018-04-22,68
2018-04-29,64
2018-05-06,68
2018-05-13,65
2018-05-20,64
2018-05-27,56
2018-06-03,54
2018-06-10,48
2018-06-17,46
2018-06-24,52
2018-07-01,52
2018-07-08,49
2018-07-15,50
2018-07-22,49
2018-07-29,51
2018-08-05,50
2018-08-12,55
2018-08-19,48
2018-08-26,52
2018-09-02,52
2018-09-09,56
2018-09-16,47
2018-09-23,55
2018-09-30,64
2018-10-07,64
2018-10-14,66
2018-10-21,74
2018-10-28,59
2018-11-04,71
2018-11-11,69
2018-11-18,73
2018-11-25,72
2018-12-02,84
2018-12-09,80
2018-12-16,82
2018-12-23,100
2018-12-30,95
