#node	date	numeric date
NODE_0000001	1928-07-23	1928.559865
EPI4437688|A/Hong_Kong/F40/2024|2024	2024-05-24	2024.394809
NODE_0000153	2007-05-28	2007.403217
EPI1153778|A/Hong_Kong/4990/2017|2017	2017-12-18	2017.963014
NODE_0000143	2007-09-12	2007.697666
NODE_0000004	2008-03-08	2008.184466
NODE_0000005	2014-07-03	2014.502411
EPI912225|A/Hong_Kong/80/2017|2017	2017-01-02	2017.004110
NODE_0000007	2014-11-23	2014.895863
NODE_0000006	2016-06-22	2016.474447
EPI911852|A/Hong_Kong/2352/2016|2016	2016-08-03	2016.588798
EPI838853|A/Hong_Kong/2352/2016|2016	2016-08-03	2016.588798
NODE_0000009	2015-06-29	2015.491490
NODE_0000012	2015-09-19	2015.715880
EPI825146|A/Hong_Kong/1721/2016|2016	2016-05-16	2016.372951
EPI1331036|A/HK/412489/2016|2016	2016-02-18	2016.132514
NODE_0000011	2015-07-23	2015.558872
NODE_0000017	2015-07-23	2015.558872
EPI690893|A/Hong_Kong/15587/2015|2015	2015-10-08	2015.768493
NODE_0000020	2015-10-05	2015.758931
NODE_0000023	2015-10-06	2015.762119
EPI772035|A/Hong_Kong/95/2016|2016	2016-01-05	2016.012295
NODE_0000027	2015-10-07	2015.765306
EPI680406|A/Hong_Kong/15587/2015|2015	2015-10-08	2015.768493
NODE_0000031	2015-10-08	2015.768493
EPI675806|A/Hong_Kong/15587/2015|2015	2015-10-08	2015.768493
EPI791540|A/Hong_Kong/93/2016|2016	2016-01-05	2016.012295
NODE_0000003	2016-01-04	2016.009563
EPI742380|A/Hong_Kong/96/2016|2016	2016-01-04	2016.009563
NODE_0000000	2016-07-03	2016.503533
EPI858891|A/Hong_Kong/2395/2016|2016	2016-08-09	2016.605191
NODE_0000036	2016-08-04	2016.591530
EPI859187|A/Hong_Kong/2394/2016|2016	2016-08-04	2016.591530
NODE_0000041	2016-08-08	2016.602459
EPI838861|A/Hong_Kong/2369/2016|2016	2016-08-08	2016.602459
EPI880909|A/Hong_Kong/2369/2016|2016	2016-08-08	2016.602459
NODE_0000112	2015-10-16	2015.790464
EPI825130|A/Hong_Kong/1722/2016|2016	2016-05-16	2016.372951
EPI825312|A/Hong_Kong/1719/2016|2016	2016-05-17	2016.375683
NODE_0000116	2016-02-07	2016.103581
EPI825437|A/Hong_Kong/1717/2016|2016	2016-05-14	2016.367486
EPI825429|A/Hong_Kong/1682/2016|2016	2016-05-14	2016.367486
NODE_0000120	2015-11-25	2015.899402
EPI1078398|A/Hong_Kong/3649/2017|2017	2017-07-18	2017.543836
EPI1019931|A/Hong_Kong/2203/2017|2017	2017-05-19	2017.379452
NODE_0000117	2016-08-09	2016.605191
EPI859189|A/Hong_Kong/2397/2016|2016	2016-08-10	2016.607923
EPI880893|A/Hong_Kong/2396/2016|2016	2016-08-09	2016.605191
EPI838869|A/Hong_Kong/2396/2016|2016	2016-08-09	2016.605191
NODE_0000121	2016-08-31	2016.664233
